r rho u P M
0.00440910460093225 588240.080754076 330.91021935967683 76762403.44339919 2.1109136899767678
0.004469807746796825 521162.3608204273 363.5006058380021 73130082.7259829 2.118749076362733
0.004476809311083024 479848.20761609526 391.59440738712465 71400307.9283954 2.119593901088976
0.004477455729319403 409280.7923563412 474.92352373230324 71219248.3816507 2.119660542583316
0.004477873777029388 339042.2139282844 595.1952293853276 71198988.93039624 2.1196962528125103
0.004480488189708833 338865.6481915366 595.0850440599728 71148950.31455259 2.1199196145525248
0.00449871933812681 337641.60001303616 594.3097225069044 70801793.29743496 2.1214787953014933
0.0045783788027935765 331868.06351551507 590.5888155228611 69165484.0635733 2.1283219747479745
0.004725187198694599 319317.93903963885 582.189966108514 65624941.70856437 2.141070472590159
0.0048367187715971476 306281.7546999659 573.0745516189249 61983919.19982168 2.1508829226319532
0.004941663615189808 296086.60457702697 565.7059831795684 59169959.77004097 2.1602171944607176
0.005097057250690761 284575.27223988523 557.1376483690988 56031606.53253619 2.1742186022038656
0.005250071244411664 272031.588869604 547.5116840608972 52663323.75391806 2.188220009947018
0.005400800783162116 260629.83875150248 538.4993600230258 49651281.77973945 2.2022214176901755
0.005549339492753239 250216.6360241366 530.0465416734695 46943889.91466071 2.2162228254333325
0.0056957774809633386 240666.46170415776 522.1028010281202 44498913.31638943 2.23022423317649
0.0058402005905552655 231874.82869517294 514.6219506729672 42281376.348388836 2.2442256409196473
0.00598269019144176 223753.7272171957 507.5621813839222 40262070.65101695 2.258227048662809
0.006123323226030528 216228.35529937968 500.88592645340003 38416433.47730645 2.272228456405966
0.006262172378615768 209234.65847516552 494.5595706726213 36723678.7786142 2.2862298641491234
0.006399306303208653 202717.4280988957 488.55308876122086 35166113.98980004 2.300231271892281
0.0065347898724677994 196628.8074406411 482.83967152745635 33728598.13778909 2.3142326796354378
0.006668684425819038 190927.10342040833 477.3953687316635 32398108.923017044 2.328234087378609
0.006801048005175608 185575.82978225488 472.1987610353017 31163394.162801176 2.3422354951217894
0.006931935573720999 180542.92696097403 467.2306640778202 30014688.8198607 2.35623690286497
0.007061399217412442 175800.118682073 462.47386411829456 28943483.428067613 2.3702383106081597
0.007189488330839242 171322.3762877222 457.9128833843646 27942333.25947336 2.3842397183513397
0.0073162497895895885 167087.46956556733 453.53377265646446 27004700.191176042 2.398241126094525
0.007441728110956567 163075.58829361436 449.32392903267146 26124821.105294682 2.4122425338377056
0.0075659656042295995 159269.02233053793 445.27193666031326 25297597.9888266 2.4262439415808905
0.007689002511271006 155651.89053404774 441.367428242216 24518505.861636817 2.4402453493240848
0.007810877137773033 152209.91045803193 437.60096500403887 23783515.387417268 2.4542467570672977
0.007931625975512028 148930.20206075782 433.9639326279526 23089027.59314458 2.468248164810515
0.008051283815908318 145801.1198357435 430.4484510906925 22431818.588257104 2.482249572553742
0.008169883855266154 142812.10869461432 427.04729634042917 21808992.5574569 2.4962509802969732
0.008287457792154087 139953.57973057756 423.75383205526373 21217941.61741489 2.5102523880402
0.00840403591745608 137216.802667921 420.5619499595463 20656311.392438028 2.5242537957834315
0.008519647197662643 134593.8123757847 417.4660174158207 20121971.374619704 2.5382552035266723
0.008634319351972144 132077.32730427998 414.46083121913455 19612989.3063131 2.5522566112699128
0.008748078923757216 129660.67807031878 411.54157671607067 19127608.961928073 2.5662580190131674
0.008860951346894158 127337.74475478147 408.703791519734 18664230.814928655 2.580259426756436
0.008972961007404525 125102.9017014671 405.9433333084781 18221395.165133256 2.5942608344997047
0.009084131300835959 122950.9687692566 403.2563510398258 17797767.371228825 2.6082622422429917
0.009194484685753887 120877.16818786199 400.6392592336761 17392124.892204497 2.6222636499862833
0.009304042733671218 118877.08629371513 398.08871495363167 17003345.887822285 2.6362650577295703
0.009412826175705638 116946.63952064651 395.6015971449497 16630399.166159952 2.650266465472871
0.00952085494622337 115082.04410988367 393.17498806838904 16272335.298772506 2.6642678732161724
0.009628148223704275 113279.78907813043 390.80615659038153 15928278.750453116 2.678269280959478
0.009734724469036093 111536.6120475367 388.4925431039972 15597420.891870528 2.6922706887027927
